id,holeid,companyholeid,longitude,latitude,easting,northing,datum,projection,zone,elevation,height_datum,dataset,holetype,azimuth,dip,maxdepth,anumber,company,geom
3121881,100012Fraser RangeSFRA0500,SFRA0500,122.985615003534,-31.8282829978279,498638.734,6478597.493,GDA94,UTM,51,367.0,EGM96,None,AC,360.0,-90.0,81.0,100012,Sirius Gold Pty Ltd,0101000020E610000007A8F35014BF5E40F080C35A0AD43FC0
3121908,100012Fraser RangeSFRA0527,SFRA0527,122.979111000479,-31.8354640021739,498023.407,6477801.454,GDA94,UTM,51,370.0,EGM96,None,AC,360.0,-90.0,65.0,100012,Sirius Gold Pty Ltd,0101000020E6100000838D2FC1A9BE5E407A5206F8E0D53FC0
3121915,100012Fraser RangeSFRA0534,SFRA0534,122.975056996308,-31.8463300031388,497640.079,6476596.989,GDA94,UTM,51,361.0,EGM96,None,AC,360.0,-90.0,4.0,100012,Sirius Gold Pty Ltd,0101000020E61000003FB8755567BE5E40CF1A4515A9D83FC0
3121885,100012Fraser RangeSFRA0504,SFRA0504,122.989008994847,-31.8283140022103,498959.911,6478594.094,GDA94,UTM,51,361.0,EGM96,None,AC,360.0,-90.0,59.0,100012,Sirius Gold Pty Ltd,0101000020E6100000551462EC4BBF5E40E64FEE620CD43FC0
3121903,100012Fraser RangeSFRA0522,SFRA0522,122.983278002965,-31.835469002772,498417.704,6477800.968,GDA94,UTM,51,361.0,EGM96,None,AC,360.0,-90.0,41.0,100012,Sirius Gold Pty Ltd,0101000020E61000001867DC06EEBE5E403CBAEB4BE1D53FC0
3121898,100012Fraser RangeSFRA0517,SFRA0517,122.97612800271,-31.8318959964915,497741.058,6478196.872,GDA94,UTM,51,381.0,EGM96,None,AC,360.0,-90.0,34.0,100012,Sirius Gold Pty Ltd,0101000020E61000005A1696E178BE5E40B59AD222F7D43FC0
3121914,100012Fraser RangeSFRA0533,SFRA0533,122.975913004338,-31.8463259999206,497721.068,6476597.451,GDA94,UTM,51,360.0,EGM96,None,AC,360.0,-90.0,12.0,100012,Sirius Gold Pty Ltd,0101000020E6100000DC57D15B75BE5E40DA691BD2A8D83FC0
3121901,100012Fraser RangeSFRA0520,SFRA0520,122.973637995237,-31.83188199897,497505.435,6478198.369,GDA94,UTM,51,386.0,EGM96,None,AC,360.0,-90.0,2.0,100012,Sirius Gold Pty Ltd,0101000020E6100000E6EBBC1550BE5E400FB5FB37F6D43FC0
3516026,100006NiftyYNC344,YNC344,121.58039911432,-21.6717003815282,353121.72,7602838.44,GDA94,Map Grid of Australia (MGA),51,304.0,EGM96,None,DD,22.8,-60.0,738.4,100006,BIRLA (NIFTY) PTY LTD,0101000020E61000006FA8534225655E40D55F638EF4AB35C0
3516022,100006NiftyYNC341,YNC341,121.578119567629,-21.6672630590769,352881.33,7603327.52,GDA94,Map Grid of Australia (MGA),51,300.0,EGM96,None,DD,25.2,-60.0,306.0,100006,BIRLA (NIFTY) PTY LTD,0101000020E61000003B0937E9FF645E40709078C0D1AA35C0
3115557,100009LeonoraLRCD001,LRCD001,121.300603171011,-28.7377353068371,334049.6,6819887.0,GDA94,UTM,51,406.0,EGM96,None,RC,60.0,-60.0,111.0,100009,ANGLO AUSTRALIAN RESOURCES NL,0101000020E61000003C2415153D535E4049F89738DCBC3CC0
